nome,endereço,telefone,aniversário,cpf
Gabriela da Conceição,"Sítio João Guilherme Macedo, 430, São Tomaz, 14081492 Farias / MS",43-99539-1074,20/03/1950,382.145.796-19
Arthur Miguel Barbosa,"Ladeira de Moreira, 76, São João Batista, 24358-213 Sales / RS",39-97580-6379,13/06/1935,097.813.652-77
Valentim Ferreira,"Viela José Pedro da Cruz, 12, Primeiro De Maio, 85392194 Fogaça / ES",29-98844-5139,27/04/1951,417.960.285-76
Luísa da Cunha,"Praia Pereira, 70, Parque São José, 07624392 Teixeira das Flores / PA",13-91007-5729,31/12/1937,815.027.469-30
Luiz Miguel Abreu,"Praça de Fogaça, 67, Liberdade, 73890-943 Ribeiro / MT",74-94320-5869,04/11/1947,520.168.439-42
Vinicius Mendes,"Feira de da Costa, Jardinópolis, 65392488 Cardoso Grande / SC",70-96386-4497,05/02/1977,789.364.021-96
Maria Júlia Rios,"Campo Miguel Moraes, 392, Vila São Geraldo, 23013255 Nunes / DF",53-95544-2598,07/08/1967,765.123.094-99
Davi Luiz Pires,"Lagoa Kamilly Jesus, 403, Esperança, 67948845 Lopes / RR",16-93013-6327,20/03/1934,145.279.380-88
Evelyn da Paz,"Aeroporto de Machado, Alta Tensão 1ª Seção, 80167-050 Cunha Alegre / MG",14-94098-6381,19/12/1958,879.235.416-55
Henry Peixoto,"Vale Albuquerque, Cinquentenário, 64139176 Lima / PI",35-92634-9434,27/04/1960,647.938.205-65
Oliver Rocha,"Praia Maria Laura Pereira, 497, Minaslandia, 27649300 Montenegro / ES",12-95594-5804,12/05/1960,931.604.785-48
Pedro Miguel Fernandes,"Aeroporto Larissa Melo, 8, Santa Amelia, 00723489 Marques / AL",87-98188-9822,17/07/1991,794.562.318-28
Alana Câmara,"Favela Giovanna da Rocha, 7, São Francisco, 99024926 Alves / MG",53-94386-2654,09/10/1953,028.416.379-13
Luan Abreu,"Praça da Mata, 1, Savassi, 90076-201 Câmara / CE",84-92178-6653,08/03/1974,540.693.182-24
Dr. Arthur Cassiano,"Vila de Oliveira, 66, Granja De Freitas, 22869-574 Mendonça das Flores / SP",75-92329-9311,04/08/1981,297.045.863-29
Isabella Lima,"Estrada Fonseca, 6, Embaúbas, 29543609 Peixoto / RN",57-97143-7544,16/10/1987,581.079.432-79
Sra. Pietra Pinto,"Morro Hadassa Abreu, 19, Saudade, 73251-470 Novaes / MG",62-99951-7793,29/09/1972,571.940.362-07
Caio Castro,"Viaduto Duarte, Vila Real 2ª Seção, 89811389 Sousa / SC",94-93773-9267,15/01/1946,265.913.748-09
Isaque Dias,"Lago Ana Cecília Silva, Conjunto Taquaril, 22012-400 Oliveira do Norte / DF",41-91214-5793,22/07/1979,832.769.410-31
Kaique Mendonça,"Setor de Alves, 743, Bandeirantes, 54231-269 Jesus das Pedras / BA",92-99667-1018,13/08/1996,162.908.573-12
Dra. Valentina Viana,"Esplanada Aparecida, 42, Nossa Senhora Da Conceição, 96067906 Nascimento da Serra / SE",83-98476-1620,06/12/1943,096.813.245-60
Ana Beatriz Carvalho,"Lagoa Pedro Lucas Costa, 545, Petropolis, 93015-536 Vieira / DF",86-92567-1181,26/09/1940,489.356.721-73
Luiz Gustavo Araújo,"Residencial de Santos, 81, Jardim América, 68779-681 Machado da Serra / PA",62-92468-8391,01/01/1941,910.367.425-80
Sr. Vicente Monteiro,"Campo de Moura, 61, Fazendinha, 51921047 Ribeiro Alegre / DF",58-95249-7501,10/02/1940,520.374.819-50
Davi Luiz Sousa,"Residencial Albuquerque, 25, Etelvina Carneiro, 25516709 Mendes / MG",42-99220-3939,21/09/1963,930.278.456-83
Sr. Gustavo Henrique Souza,"Ladeira Yago Monteiro, 686, Teixeira Dias, 34836619 Casa Grande / RS",65-93609-9797,14/04/1945,265.340.789-29
Daniel Castro,"Favela Guerra, 256, Buraco Quente, 16837-019 Alves / TO",52-95535-6218,30/08/1941,285.709.436-10
Ana Liz Nunes,"Vila Gabrielly Oliveira, 61, Cidade Jardim, 08555717 Moreira de Azevedo / SP",47-99031-9487,27/03/1974,728.390.641-03
Melina Castro,"Via Siqueira, 47, Oeste, 59903795 Cavalcante / RO",66-98508-2070,01/11/1992,574.916.823-91
Henry Novaes,"Morro Sá, 364, Independência, 21429-645 da Luz da Praia / PA",55-98109-4726,03/01/2005,690.738.154-01
Dr. Vinícius Montenegro,"Avenida Aurora das Neves, 14, Conjunto Califórnia Ii, 13241040 Alves da Serra / RS",97-91346-3717,01/01/1974,230.516.894-24
Aurora Viana,"Pátio Barbosa, 61, Bonfim, 94508282 Mendonça / MG",80-99725-1947,28/08/1992,759.132.840-97
Mateus Borges,"Viaduto de Cunha, São Tomaz, 48284029 Rocha das Flores / PR",19-92936-3897,22/03/1992,598.126.734-82
Leandro Rodrigues,"Vereda de da Paz, Vila Antena Montanhês, 75698-003 Câmara / RN",81-98468-5911,09/09/2005,438.927.061-31
João Pedro Porto,"Lagoa Sampaio, 99, Baleia, 58535-219 Alves do Norte / MT",75-99559-4381,09/07/1992,379.802.451-05
Pedro Lucas Moraes,"Passarela Maria Liz Moreira, 35, Piraja, 80941-445 Lopes de Minas / PE",42-98680-9063,21/05/1987,137.408.629-04
Kevin Nogueira,"Vale de Câmara, 88, Vila Santa Monica 2ª Seção, 83722-416 Ribeiro / PI",61-93047-2887,24/01/1968,709.368.452-10
Caleb Castro,"Chácara de Gomes, 323, Mantiqueira, 00974635 Fonseca do Sul / MA",59-97474-5474,21/04/1970,169.074.258-58
Aurora Rios,"Parque de Leão, 6, Maravilha, 48072-997 Montenegro de Moreira / MS",31-98487-3568,07/12/1987,287.963.051-77
Olívia Cardoso,"Estação de Barros, 31, Vera Cruz, 01881168 Viana / RJ",79-91059-1255,11/01/1995,542.837.906-56
Olívia Martins,"Esplanada de Guerra, 21, Vila Trinta E Um De Março, 94661-605 Machado da Praia / SC",79-99081-8575,27/11/1985,753.802.914-14
Gabriel Melo,"Alameda Machado, 1, Nossa Senhora Da Conceição, 56701-048 Costela do Oeste / AP",62-98780-2121,27/01/1971,675.821.493-19
Cauê Andrade,"Parque Pereira, 9, Marajó, 54057-826 Correia de Nascimento / PB",89-99723-1699,28/04/1987,471.986.205-58
Benjamin Castro,"Sítio de da Cruz, 50, Santa Cecilia, 63402-360 Cardoso da Mata / MA",18-97205-7563,24/06/1946,964.521.783-00
Luísa Correia,"Feira Ana Sophia Mendonça, 9, Vila São Gabriel Jacui, 28829859 Cavalcanti / TO",11-91975-6768,18/05/1977,538.672.409-65
Luiz Gustavo Campos,"Parque de Casa Grande, 104, Marieta 3ª Seção, 20280683 Silva Verde / SE",94-92335-5283,16/12/1979,326.759.014-07
João Lucas Albuquerque,"Ladeira de Fernandes, 12, Santa Lúcia, 17921876 das Neves de Ferreira / SE",81-92830-9717,04/10/2005,835.972.014-23
Emanuella Pereira,"Via Esther da Mota, 6, Barro Preto, 58346-372 Cavalcante / MS",48-96274-6422,12/03/1976,823.956.741-09
Hellena Freitas,"Recanto Carolina Lopes, 75, Jardim Leblon, 44834-459 Pastor / ES",90-99962-5727,13/01/1937,529.841.730-23
Dra. Antonella Macedo,"Praia de Cavalcanti, 3, Cinquentenário, 46966093 Melo Paulista / SP",74-97622-5000,21/04/1975,078.643.152-08
Vitória Freitas,"Esplanada Costela, 94, Canadá, 38881312 Silva do Sul / PI",93-97886-1318,10/04/1979,743.169.582-91
Otto Nascimento,"Lagoa de Sales, Vila Vista Alegre, 11720-172 Cunha / RO",33-98755-5155,30/05/1933,610.239.845-98
Olivia Costa,"Campo de da Costa, 491, Lagoa, 40844851 Aparecida / ES",83-94995-2934,27/01/1938,037.184.562-90
Marcelo da Cunha,"Alameda Cardoso, 9, Flavio Marques Lisboa, 89407-817 Rodrigues / AM",97-96335-9349,10/11/1970,291.708.653-02
Camila Ramos,"Recanto Joaquim Lopes, 64, Petropolis, 15194957 Casa Grande da Praia / PE",67-92483-1578,04/11/1934,512.067.384-80
Emilly Pinto,"Travessa Montenegro, 44, Aeroporto, 60536591 da Rosa do Oeste / RR",27-94135-7961,20/07/1990,546.732.918-91
Emanuel Pastor,"Passarela Silva, 51, Fernão Dias, 79223217 Porto / PI",62-96407-6127,27/08/1973,087.935.621-95
Stella Correia,"Lago de da Rocha, 2, Das Industrias I, 53264-977 Andrade / MS",45-92921-6219,15/11/1943,480.752.136-53
Daniel Vargas,"Campo Moreira, 3, São Sebastião, 06654-253 Pereira / PE",65-96131-7621,28/12/1940,943.506.271-70
Yuri Lima,"Trevo Lopes, 2, Vila Piratininga Venda Nova, 12759-890 Teixeira / SE",86-98139-3559,23/04/1973,309.657.241-07
Luiz Fernando Macedo,"Via Melo, 180, Leticia, 75503-864 Pastor Paulista / PA",96-91261-6871,21/11/1961,460.381.975-75
Luara Pinto,"Distrito Júlia Cardoso, 3, Petropolis, 82060-909 Jesus do Norte / AL",55-97474-3534,08/09/1999,563.971.820-02
Milena Fonseca,"Esplanada João Vitor Rocha, 40, Aeroporto, 01303-529 Fonseca do Galho / MG",41-93425-5491,02/11/1995,679.021.543-34
Anna Liz Cavalcanti,"Viela de Viana, 815, Olaria, 14221-145 da Mata / ES",56-96113-3351,29/01/1975,598.102.476-30
Sr. João Miguel Aragão,"Estrada de da Paz, 5, Vila Real 1ª Seção, 82146-377 Carvalho da Praia / MG",99-91922-8156,13/04/1978,651.742.390-70
Kamilly Vieira,"Lago Nunes, 27, Senhor Dos Passos, 95505414 Barbosa / AM",33-98171-2826,21/10/1936,759.234.681-82
Ana Laura Nunes,"Largo Rebeca Camargo, 53, Nova Granada, 07580673 Souza / CE",97-92130-7431,11/05/1981,194.302.578-97
Olívia Abreu,"Residencial Theo Souza, 92, Monte Azul, 08553-027 Teixeira / AP",71-99596-7448,07/12/1997,071.385.496-01
Amanda Freitas,"Trevo Maria Laura da Mata, 34, Vila Santa Monica 1ª Seção, 14697-968 Almeida / RS",27-91778-7636,11/12/1940,451.273.690-52
Valentim Lima,"Loteamento de Abreu, 51, Petropolis, 97193119 da Rocha dos Dourados / CE",74-95839-2048,02/08/1985,736.059.421-99
Rafaela Macedo,"Vereda Moura, 6, Vila Nova Gameleira 3ª Seção, 27572-572 Marques / RO",45-92151-7998,14/07/1995,267.980.134-22
Rodrigo da Costa,"Fazenda Isaque Ribeiro, 45, Prado, 95017-128 Vieira do Amparo / DF",15-91861-1490,07/02/1981,694.251.370-99
Ravy Araújo,"Núcleo Cecília Carvalho, 30, Vila Nova Paraíso, 68613308 Gonçalves da Praia / ES",70-96537-2253,17/11/1983,439.871.562-28
Isabella Oliveira,"Rodovia Almeida, Cardoso, 74820893 Cassiano / PA",41-96134-4608,29/10/1974,491.765.283-91
Rael Silveira,"Parque de Pereira, 43, Piraja, 82205108 Vieira das Pedras / RN",70-98907-8839,06/02/1952,367.201.458-35
Beatriz Pastor,"Sítio Fonseca, Frei Leopoldo, 50923-194 Leão / ES",25-98516-7925,21/09/1955,870.591.342-04
Ian Barros,"Recanto de Pires, 87, Vila Independencia 1ª Seção, 45395-144 Guerra dos Dourados / RN",23-93445-9092,31/08/1979,867.315.204-62
Ísis da Mota,"Recanto de Cirino, 26, Serrano, 96472-306 Cirino da Prata / SE",68-92466-4136,12/03/1943,962.451.038-51
Carlos Eduardo Silveira,"Favela Rodrigues, 699, Luxemburgo, 19140921 Cavalcanti da Mata / PE",11-97694-6798,07/06/1948,246.310.875-44
Sra. Allana Vieira,"Setor da Rocha, 944, Jardim Guanabara, 63205335 da Cunha da Prata / MA",53-92531-1806,30/12/1949,786.325.419-19
Ravy Ferreira,"Pátio Campos, 9, Serrano, 91229652 Ramos / MS",11-95565-1705,14/03/2006,846.715.230-35
Bruno Carvalho,"Travessa de Carvalho, 95, Sion, 03278-259 da Cunha / MS",79-93802-6530,21/03/1963,605.732.419-61
Isaac Macedo,"Residencial Rodrigo Almeida, 683, Apolonia, 81721349 Macedo / SP",40-95619-5559,18/02/1995,061.375.249-06
Melina da Costa,"Favela Gonçalves, 567, Nova Gameleira, 90695-923 Leão do Oeste / BA",83-92784-6586,07/07/1940,089.673.124-31
Emanuel Pacheco,"Trecho de Barros, Tupi A, 14918-443 Dias / BA",49-98211-5800,13/08/1941,978.642.031-40
Sra. Maria Alice Camargo,"Chácara Valentim Pires, Vila Primeiro De Maio, 07889-861 Fogaça / RJ",54-99200-8827,04/04/1946,720.569.148-67
Bento Garcia,"Lago de Costa, 9, Bairro Das Indústrias Ii, 33214800 Rezende / SC",36-98512-1610,07/12/1979,904.781.326-03
Yuri Moraes,"Colônia Levi Leão, 598, Vista Alegre, 09258980 Melo / AC",19-93926-7479,16/06/1993,214.385.096-42
Stephany Campos,"Sítio Marques, 9, Ermelinda, 16574-893 Martins / AL",17-91520-5647,21/09/1946,321.496.057-16
Anthony Aragão,"Feira Daniel Cardoso, Boa União 2ª Seção, 24153054 Rezende de Dias / SE",13-91180-4828,21/05/1999,345.812.976-64
Lorenzo Farias,"Núcleo de Dias, 60, Vila Pilar, 47963-490 Aragão do Amparo / SE",50-99055-4061,05/01/1934,590.182.736-86
Ana Julia da Cruz,"Campo Ryan Macedo, Vila Maria, 84856004 Rios dos Dourados / PR",77-95680-9534,26/06/1977,594.132.807-97
Dr. Yuri Sampaio,"Travessa Aparecida, 19, Silveira, 49338876 Lopes das Pedras / AP",15-98021-9792,11/04/1993,247.385.610-90
Emanuelly Alves,"Praça Sabrina Campos, 432, Fernão Dias, 81743-445 Carvalho / RO",52-92484-1505,29/08/2000,981.074.536-20
Sr. Henrique Pereira,"Favela Castro, Saudade, 43526364 Pimenta de Minas / RO",99-97307-9922,21/06/1955,185.246.309-06
Sr. Yan Moura,"Conjunto Ramos, 65, Madre Gertrudes, 55475-958 da Mota de Pereira / BA",75-95926-5051,17/02/1963,803.427.651-08
Joaquim Vasconcelos,"Trevo Andrade, Conjunto Jatoba, 99948-867 Fonseca / MS",20-98146-2596,28/05/2000,807.423.156-90
Sra. Valentina Pinto,"Vale Vitor Gabriel Machado, 83, Pirineus, 07462400 Pastor / SP",16-95957-1494,07/09/1957,486.035.719-10
Sr. Francisco Cardoso,"Morro Jesus, 92, Vila Antena, 01620-807 Pimenta / RN",49-98268-2374,05/12/1938,324.987.105-23
Enzo Gabriel Silveira,"Aeroporto Ana Liz Oliveira, 222, Vila São Dimas, 97936-075 Cassiano dos Dourados / DF",71-97322-1281,31/12/1943,783.601.549-10
Ravi Lucca Correia,"Morro Luan Mendonça, 4, Vila De Sá, 78789-571 Vieira / DF",27-95360-6452,20/09/1970,351.460.987-00
Amanda Moreira,"Praia Mendes, Vila Aeroporto Jaraguá, 58931126 Silveira / RO",73-92178-8589,11/08/1975,187.930.542-97
Valentina Guerra,"Viela Pereira, 2, Candelaria, 47140327 Ferreira do Amparo / BA",57-93292-9003,09/12/1980,694.317.805-93
Anthony Freitas,"Núcleo da Mota, 3, Oeste, 88649311 da Cruz do Campo / MA",22-93813-8378,01/03/1944,536.721.049-06
Rafaela Borges,"Passarela de Andrade, Petropolis, 50154742 Cardoso Verde / DF",38-94585-7782,29/04/1999,637.054.928-29
Caroline Farias,"Lagoa de Aragão, 20, São Francisco, 64168-596 Carvalho / AC",87-96394-2982,29/09/1947,765.043.821-07
Valentim Cirino,"Rodovia de Alves, Nazare, 65193-212 Barros de Vasconcelos / MS",22-97910-7409,26/12/1994,642.981.507-20
Henrique Costela,"Rua Cecilia Teixeira, 63, Vila Madre Gertrudes 1ª Seção, 07422-614 Fonseca Verde / SP",43-93416-4975,25/05/1981,431.762.598-91
Sophie Vargas,"Esplanada Melo, 63, Estrela, 20742-450 Ferreira da Serra / RJ",38-99095-8237,13/08/1973,190.234.685-89
Gael Henrique Sousa,"Setor Viana, 967, Vila Da Luz, 01882637 Silveira da Prata / SE",27-96148-1002,08/12/1944,952.874.306-47
Ana Liz Camargo,"Avenida de Cardoso, 42, Unidas, 53431-406 Vieira / AC",46-99992-9605,12/01/1960,185.490.276-85
Sr. Davi Santos,"Vale Caldeira, 49, Cabana Do Pai Tomás, 70141302 Marques do Oeste / SP",35-93922-3206,22/03/2005,875.042.931-05
Sophie da Mota,"Área Caleb Cunha, 15, Serrano, 89017-673 Marques dos Dourados / ES",39-92993-7187,02/11/1965,718.025.936-59
Luiz Gustavo Costela,"Conjunto de Costa, 55, Horto Florestal, 28802-995 da Rocha / PI",40-96883-9815,28/03/1980,967.830.412-04
Marcelo Camargo,"Sítio Mendes, 226, Virgínia, 71317-322 Teixeira / SC",87-91491-4884,07/06/1983,726.384.105-35
Alexia Montenegro,"Quadra Luara Martins, 27, Caetano Furquim, 40214-661 da Conceição das Pedras / MA",43-95917-3664,22/12/1957,749.563.820-65
Beatriz Viana,"Praça da Conceição, 76, São Francisco Das Chagas, 60643973 Rios / AP",46-96498-9281,01/02/1953,946.185.037-93
Emanuel Novaes,"Trecho Sá, Coração Eucarístico, 85296573 Alves / GO",55-97360-3415,04/11/1938,284.769.135-91
Amanda Garcia,"Recanto João Miguel Fogaça, Salgado Filho, 06420212 Souza / PB",99-98634-8193,07/08/1953,348.672.519-09
Agatha Pinto,"Rua de Brito, 57, Aarão Reis, 57553-655 Cavalcanti / CE",38-95530-9811,13/01/1934,309.674.521-80
Yago Sampaio,"Sítio de Ramos, Vila Bandeirantes, 64382-607 Martins de Barros / PB",93-98063-5466,18/10/1951,674.135.820-07
Rhavi Nascimento,"Parque Stephany Melo, 70, Vila Santa Monica 2ª Seção, 37043-805 Pinto / RN",67-91790-7440,27/05/1957,298.136.504-51
Heloisa Barros,"Avenida da Cunha, 329, Campo Alegre, 87983399 Sousa / MG",42-92259-5005,30/01/1985,352.178.694-37
Ana Luiza Sousa,"Campo Moura, 187, Luxemburgo, 15844139 Borges / AP",22-99394-7351,22/02/1962,962.830.714-22
Ana Laura da Conceição,"Chácara Montenegro, 38, Saudade, 03858319 Cavalcanti / MS",86-91681-3216,10/01/1987,589.271.643-00
João Lucas Ramos,"Vale Aparecida, 19, Olhos D'água, 59276101 da Rocha Grande / SP",94-95898-3296,02/06/1934,746.910.283-31
Marina Montenegro,"Vale de Borges, 156, Tirol, 12783610 Novais / MS",37-97792-8196,09/04/1989,358.974.061-20
Nicole Câmara,"Lagoa Bruno Pereira, 302, Graça, 76306-434 da Cruz / MT",94-99405-1883,05/07/1945,640.128.397-13
Arthur Cavalcanti,"Morro Zoe Rodrigues, 817, Camargos, 97612-170 Moura / RS",48-96307-8191,13/05/1969,850.396.417-10
Isaque Vasconcelos,"Sítio Aparecida, 64, Caetano Furquim, 48320923 da Conceição da Praia / PR",43-94833-7852,03/02/1965,593.176.428-37
Ayla Machado,"Parque Zoe Cavalcante, Santa Cruz, 14981-245 da Cruz Paulista / GO",98-92740-3496,02/08/1944,739.861.520-59
Nathan Costa,"Pátio Albuquerque, 824, Belmonte, 63097870 Sá / PB",36-99720-4421,22/03/1945,832.501.947-60
Dr. Leandro da Rocha,"Avenida de Camargo, 75, São Sebastião, 43889-655 Abreu / SC",82-92054-4089,16/12/1950,427.368.059-92
Ana Júlia Jesus,"Rodovia de Ferreira, Nossa Senhora Do Rosário, 09808-026 Novaes da Praia / AM",25-93063-3169,28/10/1976,035.261.948-15
Bárbara Lima,"Jardim Borges, 98, Bernadete, 28375867 Vieira / AL",11-97395-5838,28/12/1991,596.428.017-01
Pedro Lucas Melo,"Praia Azevedo, 89, Bacurau, 80974307 Caldeira de Goiás / AM",90-96743-9922,07/11/1965,907.345.812-97
João Felipe Duarte,"Passarela Pedro Henrique Costa, 40, Vila Engenho Nogueira, 13313-930 da Cunha de Cassiano / PI",93-94970-2731,01/01/1960,903.467.128-31
Sra. Maria Flor Moreira,"Distrito de Pimenta, 858, Tupi B, 33063451 Guerra das Flores / PI",83-92367-5492,22/07/1968,097.523.814-05
Stella Albuquerque,"Fazenda Calebe Sampaio, 7, Copacabana, 91772291 Vasconcelos de Goiás / SC",83-92025-3986,22/02/1956,361.405.897-20
Dr. Rodrigo Viana,"Recanto Vitor Pimenta, 122, Vila Nova Dos Milionarios, 72748-420 Nogueira das Pedras / SE",48-92453-2147,31/07/1985,023.564.178-26
Manuela Brito,"Estrada Rezende, 6, Senhor Dos Passos, 33188369 Santos / AC",70-95029-2954,26/08/1981,084.562.371-08
Felipe Sousa,"Área Theodoro Fogaça, 38, Belvedere, 54758-197 Costela / SC",64-99981-7674,26/09/1943,578.639.102-77
Beatriz Montenegro,"Chácara Davi Miguel Brito, 16, Comiteco, 38801-464 Pacheco do Norte / ES",12-94917-5121,06/11/1977,570.314.982-79
Otto Guerra,"Viaduto de Sá, 49, São Marcos, 13527496 Casa Grande / AC",29-97153-1884,03/10/1998,213.908.745-32
Isis das Neves,"Ladeira Cassiano, Madre Gertrudes, 89319577 Rios / TO",77-93898-7600,14/01/1956,853.412.960-60
Sr. Cauê Campos,"Chácara de Cavalcante, 28, Grotinha, 65657445 Costa de Camargo / RN",34-96476-5762,18/06/1960,235.480.761-90
Ísis Pimenta,"Conjunto de Vieira, 5, Nova America, 48679740 Ribeiro / RN",10-98100-7633,16/09/1985,091.248.763-13
Luna da Mata,"Praça Maria Vitória Novais, 4, Alta Tensão 1ª Seção, 26057-413 Peixoto / CE",39-94884-7537,28/08/2005,341.786.205-17
Ana Vitória Novais,"Trecho Thales Nascimento, Penha, 33063901 Fogaça do Campo / SC",95-98646-8615,01/01/1970,067.142.589-76
Eduarda Ribeiro,"Recanto Rezende, 9, São José, 45784-775 Pires / PE",74-95948-6092,27/09/1964,021.637.945-80
Sra. Carolina Leão,"Quadra de Siqueira, 4, Aeroporto, 24766010 das Neves de Albuquerque / PE",60-99408-6636,14/10/1990,964.152.073-34
Pedro Lucas Rezende,"Praça de Peixoto, 88, Túnel De Ibirité, 44531-044 Sales do Sul / RJ",56-92364-8557,22/05/1991,391.275.406-34
Maria Clara Camargo,"Trecho Enzo Gabriel Fernandes, 2, Nazare, 30921-586 Leão / DF",79-93701-8956,07/10/2001,301.584.796-10
Isabelly Moraes,"Fazenda Gomes, 948, Barreiro, 67151-725 da Conceição da Serra / MT",13-91901-4405,30/12/1960,072.961.534-07
Théo Novais,"Vila Bryan Almeida, 32, Vila Mantiqueira, 70396-898 Lima / CE",43-94080-9208,28/05/1937,438.172.650-26
Caio Lopes,"Estação de Albuquerque, 469, Havaí, 81043-457 Rodrigues do Oeste / GO",35-99728-8780,24/01/1964,693.815.742-19
Emanuelly Cardoso,"Chácara de Pacheco, 77, Zilah Sposito, 48416-041 Cavalcante das Pedras / AC",23-91873-2003,25/12/1973,213.879.546-28
Rafaela Monteiro,"Fazenda Heloisa Borges, 87, Piratininga, 19070-035 Lopes / MG",80-91665-3245,18/04/1946,487.931.520-60
Sabrina Monteiro,"Setor Liz Nascimento, 5, Vila Real 2ª Seção, 63367-058 Jesus Verde / DF",72-95202-2939,12/01/1946,435.678.129-55
Maria Helena da Mota,"Fazenda Moreira, 860, Xangri-Lá, 30442811 Pastor das Pedras / MG",52-91458-5501,19/05/1969,852.314.906-60
Gustavo Henrique Sales,"Parque Macedo, 99, Garças, 17276-946 Azevedo da Serra / SC",31-93341-4401,21/07/1953,054.169.372-70
Dra. Aylla Câmara,"Área Guerra, 55, Madri, 52083-104 Sampaio / PR",10-99200-4633,29/09/2004,457.218.630-80
João Pedro Marques,"Vale Sousa, 66, Goiania, 94322107 Barbosa da Praia / MG",62-98088-1638,25/12/1953,530.216.894-42
Agatha Dias,"Aeroporto Campos, 175, Vila Madre Gertrudes 3ª Seção, 25261571 Viana de da Paz / MT",12-95527-9436,23/10/1993,938.624.170-69
Srta. Milena da Conceição,"Alameda Vinícius Rocha, 67, Ipe, 03662-113 Duarte / AC",89-98175-7492,08/10/1981,301.649.587-20
Vinicius Sales,"Parque de Macedo, Nova Floresta, 21323819 Câmara / AP",64-97550-4575,24/03/1943,430.657.812-71
Erick Ferreira,"Esplanada Otávio Cunha, 71, Vila Pinho, 11608889 Barros / GO",35-97099-7535,28/08/1975,974.235.608-47
Ian Costela,"Recanto Maria Fernanda Fonseca, 72, Solimoes, 45289-805 Novaes / MG",17-94172-2314,23/08/2003,539.682.017-95
Davi Luiz Vieira,"Sítio de Ferreira, 70, Lourdes, 06930-123 Pimenta de Garcia / TO",24-98208-7381,27/12/1954,834.075.219-79
Marcelo da Rosa,"Vereda Ana Cecília Alves, Vila Jardim Alvorada, 79969-754 Sousa / SE",12-91723-5489,26/03/1964,934.105.726-43
Arthur Miguel Silva,"Quadra Maria Luísa Duarte, 76, Coração De Jesus, 64065-407 Ramos / MA",56-97220-6437,16/02/1939,265.784.391-37
João Felipe Monteiro,"Fazenda de Andrade, 8, Cdi Jatoba, 17474869 Cavalcanti da Praia / BA",25-96594-6233,07/01/1972,863.025.194-89
Mariah Novais,"Residencial da Rocha, 8, Vila Olhos D'água, 24137-306 Almeida de Macedo / GO",96-96614-1297,05/09/1940,430.761.952-80
Mateus Campos,"Alameda de Pastor, 9, Marmiteiros, 90829-081 Jesus / AP",32-94609-8331,13/09/2004,374.091.852-79
Levi Casa Grande,"Sítio Mendes, 2, Cdi Jatoba, 90466475 Machado / AP",91-98512-4020,05/04/1960,920.851.367-02
Srta. Isabela Santos,"Jardim Henry Gabriel da Costa, 63, Madre Gertrudes, 85707667 Cirino de Sampaio / AP",41-95138-1630,28/08/1975,421.768.053-80
Rhavi Aragão,"Avenida da Cunha, 77, Alta Tensão 2ª Seção, 82238-271 Rezende Verde / MT",61-91620-5234,03/12/1983,457.023.961-70
Ana Júlia Martins,"Área Porto, 833, Jardim Dos Comerciarios, 43612-865 Pimenta / RS",41-99825-1376,26/12/1977,726.105.943-99
Sr. Thales Cirino,"Quadra Kamilly Sampaio, 61, Garças, 06357-868 Caldeira / RO",45-95667-7145,14/11/1958,152.764.380-80
Arthur Miguel Araújo,"Colônia Lunna Almeida, 58, Vila De Sá, 80947410 da Paz / SP",15-99539-6166,22/01/1980,758.069.431-00
João Gabriel Costa,"Viaduto Lara Pires, 109, Satelite, 04516087 da Cunha / MS",36-99864-5592,09/01/1974,106.958.327-86
Enzo da Cunha,"Colônia da Mota, 784, Graça, 49270162 Campos / CE",29-93987-4845,13/06/1970,048.597.213-14
Heitor das Neves,"Trecho de Borges, 8, Corumbiara, 99487113 Alves / SC",67-98623-6104,20/04/1977,053.179.846-10
Benjamim Pinto,"Passarela Ana Liz Garcia, 434, Heliopolis, 14287-629 Nunes / TO",48-96830-9493,24/10/1962,061.352.794-16
Diogo Costa,"Sítio Diego Santos, 41, Vila Madre Gertrudes 4ª Seção, 74730-269 Pereira / RN",25-98994-1531,14/08/1968,671.952.403-80
Dra. Ana Cecília Vieira,"Passarela Jesus, 61, Taquaril, 11457-888 Silveira / RJ",35-98778-4521,02/01/1957,647.380.152-90
Cauã Sá,"Colônia de Leão, 43, Carmo, 32840818 Vieira / PB",73-92836-7830,27/06/1988,681.032.475-53
Zoe Moraes,"Fazenda Almeida, 89, Trevo, 98878-165 Sousa de Goiás / PE",19-99185-9175,10/08/1996,539.781.602-77
Aylla Rezende,"Favela Souza, 59, Mineirão, 28778798 Cirino de Araújo / AL",84-92535-8298,01/03/1974,461.523.897-55
Sabrina Cassiano,"Rua Dias, 915, Bonfim, 57569-559 Montenegro de Souza / GO",82-97599-3216,04/06/1945,134.872.690-31
Enrico Dias,"Via de Cavalcante, Ambrosina, 92254-051 Aragão / SC",75-97584-5273,08/02/1944,562.410.398-06
Eduardo Cunha,"Conjunto de Abreu, 335, Pirineus, 04426-469 Melo de Azevedo / ES",76-98203-8152,26/03/1978,071.435.682-44
Ana Clara Alves,"Pátio Daniel Costela, 62, Vila Paraíso, 82525-178 Câmara da Praia / PA",75-95423-1127,18/08/1983,451.092.387-23
